resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,fastestLapTime_seconds
277,31,8,6,1,14,9,9,9,0.0,53,+39.468,53,1,1:28.047,236.859,1,88.047
278,31,12,4,6,17,10,10,10,0.0,53,+54.445,53,16,1:30.918,229.380,1,90.918
279,31,10,7,12,9,11,11,11,0.0,53,+58.888,53,8,1:29.948,231.853,1,89.948
280,31,6,3,8,18,12,12,12,0.0,53,+1:02.015,53,11,1:30.215,231.167,1,90.215
281,31,15,7,11,7,13,13,13,0.0,53,+1:05.954,52,15,1:30.853,229.544,1,90.853
282,31,3,3,7,5,14,14,14,0.0,53,+1:08.635,53,10,1:30.019,231.671,1,90.019
283,31,18,11,16,19,15,15,15,0.0,53,+1:13.370,52,7,1:29.827,232.166,1,89.827
284,31,14,9,9,13,16,16,16,0.0,52,\N,49,17,1:32.459,225.557,11,92.459
285,31,22,11,17,16,17,17,17,0.0,52,\N,42,19,1:33.918,222.053,11,93.918
286,31,7,5,14,4,18,18,18,0.0,52,\N,52,2,1:29.258,233.646,11,89.258
287,31,16,10,20,20,19,19,19,0.0,51,\N,51,18,1:33.458,223.146,12,93.458
289,32,4,4,5,15,1,1,1,10.0,61,1:57:16.304,55,3,1:45.768,172.464,1,105.768
290,32,3,3,7,8,2,2,2,8.0,61,+2.957,39,5,1:46.454,171.352,1,106.454
291,32,1,1,22,2,3,3,3,6.0,61,+5.917,14,4,1:46.072,171.969,1,106.072
292,32,10,7,12,7,4,4,4,5.0,61,+8.155,50,8,1:47.044,170.408,1,107.044
293,32,20,5,15,6,5,5,5,4.0,61,+10.268,13,9,1:47.271,170.047,1,107.271
294,32,2,2,3,9,6,6,6,3.0,61,+11.101,14,11,1:47.306,169.992,1,107.306
295,32,14,9,9,14,7,7,7,2.0,61,+16.387,41,13,1:47.562,169.587,1,107.562
296,32,6,3,8,10,8,8,8,1.0,61,+18.489,13,10,1:47.287,170.022,1,107.287
297,32,18,11,16,12,9,9,9,0.0,61,+19.885,61,15,1:48.128,168.700,1,108.128
298,32,5,1,23,5,10,10,10,0.0,61,+26.902,14,12,1:47.337,169.943,1,107.337
299,32,9,2,4,4,11,11,11,0.0,61,+27.975,14,6,1:46.899,170.639,1,106.899
300,32,7,5,14,17,12,12,12,0.0,61,+29.432,29,14,1:47.820,169.181,1,107.82
301,32,13,6,2,1,13,13,13,0.0,61,+35.170,13,2,1:45.757,172.482,1,105.757
302,32,21,10,21,20,14,14,14,0.0,61,+43.571,28,16,1:49.101,167.195,1,109.101
303,32,8,6,1,3,15,15,15,0.0,57,\N,14,1,1:45.599,172.740,3,105.599
309,33,4,4,5,4,1,1,1,10.0,67,1:30:21.892,41,3,1:19.101,207.668,1,79.101
310,33,9,2,4,6,2,2,2,8.0,67,+5.283,16,7,1:19.292,207.168,1,79.292
311,33,8,6,1,2,3,3,3,6.0,67,+6.400,66,2,1:18.995,207.947,1,78.995
312,33,12,4,6,12,4,4,4,5.0,67,+20.570,54,4,1:19.199,207.411,1,79.199
313,33,15,7,11,7,5,5,5,4.0,67,+23.767,18,9,1:19.524,206.564,1,79.524
314,33,20,5,15,9,6,6,6,3.0,67,+39.207,21,12,1:19.617,206.322,1,79.617
315,33,13,6,2,5,7,7,7,2.0,67,+46.158,55,1,1:18.426,209.456,1,78.426
316,33,17,9,10,13,8,8,8,1.0,67,+50.811,30,13,1:19.820,205.798,1,79.82
317,33,2,2,3,16,9,9,9,0.0,67,+54.120,67,8,1:19.461,206.727,1,79.461
318,33,7,5,14,10,10,10,10,0.0,67,+59.085,49,6,1:19.262,207.246,1,79.262
319,33,3,3,7,15,11,11,11,0.0,67,+1:02.096,66,10,1:19.531,206.545,1,79.531
320,33,1,1,22,1,12,12,12,0.0,67,+1:18.900,65,11,1:19.560,206.470,1,79.56
321,33,22,11,17,17,13,13,13,0.0,66,\N,66,16,1:20.575,203.869,11,80.575
322,33,18,11,16,18,14,14,14,0.0,66,\N,66,17,1:20.849,203.178,11,80.849
323,33,6,3,8,14,15,15,15,0.0,66,\N,32,15,1:20.364,204.404,11,80.364
329,34,1,1,22,1,1,1,1,10.0,56,1:31:57.403,13,1,1:36.325,203.722,1,96.325
330,34,13,6,2,3,2,2,2,8.0,56,+14.925,36,4,1:36.591,203.161,1,96.591
331,34,8,6,1,2,3,3,3,6.0,56,+16.445,14,2,1:36.483,203.389,1,96.483
332,34,4,4,5,4,4,4,4,5.0,56,+18.370,56,5,1:36.659,203.018,1,96.659
333,34,2,2,3,9,5,5,5,4.0,56,+28.923,56,3,1:36.498,203.357,1,96.498
334,34,9,2,4,11,6,6,6,3.0,56,+33.219,56,7,1:36.854,202.610,1,96.854
335,34,10,7,12,12,7,7,7,2.0,56,+41.722,56,6,1:36.727,202.876,1,96.727
336,34,12,4,6,10,8,8,8,1.0,56,+56.645,56,8,1:36.996,202.313,1,96.996
337,34,20,5,15,6,9,9,9,0.0,56,+1:04.339,55,9,1:37.212,201.863,1,97.212
338,34,14,9,9,15,10,10,10,0.0,56,+1:14.842,27,14,1:37.753,200.746,1,97.753
339,34,22,11,17,13,11,11,11,0.0,56,+1:25.061,56,16,1:37.845,200.558,1,97.845
340,34,6,3,8,17,12,12,12,0.0,56,+1:30.847,54,17,1:38.019,200.202,1,98.019
341,34,7,5,14,8,13,13,13,0.0,56,+1:31.457,36,12,1:37.452,201.366,1,97.452
342,34,17,9,10,16,14,14,14,0.0,56,+1:32.422,10,13,1:37.680,200.896,1,97.68
343,34,3,3,7,14,15,15,15,0.0,55,\N,38,10,1:37.246,201.793,11,97.246
344,34,18,11,16,18,16,16,16,0.0,55,\N,54,15,1:37.773,200.705,11,97.773
345,34,21,10,21,20,17,17,17,0.0,55,\N,54,18,1:38.372,199.483,11,98.372
349,35,13,6,2,1,1,1,1,10.0,71,1:34:11.435,36,1,1:13.736,210.377,1,73.736
350,35,4,4,5,6,2,2,2,8.0,71,+13.298,39,8,1:14.229,208.980,1,74.229
351,35,8,6,1,3,3,3,3,6.0,71,+16.235,59,3,1:14.117,209.296,1,74.117
352,35,20,5,15,7,4,4,4,5.0,71,+38.011,25,7,1:14.214,209.022,1,74.214
353,35,1,1,22,4,5,5,5,4.0,71,+38.907,31,4,1:14.159,209.177,1,74.159
354,35,10,7,12,10,6,6,6,3.0,71,+44.368,32,2,1:14.057,209.465,1,74.057
355,35,5,1,23,5,7,7,7,2.0,71,+55.074,36,6,1:14.207,209.042,1,74.207
